combo_msku,available_combo_stock,components_count,components,stocks_per_component
MB_COMBO_LALALAND_GODFATHER,0,2,"['CSTE_0043_MB_Lalaland_Brown', 'CSTE_0033_MB_GodFather_Brown']","[0, 0]"
MB_COMBO_LALALAND_LETITGO,0,2,"['CSTE_0043_MB_Lalaland_Brown', 'CSTE_0047_MB_LetItGo_Brown']","[0, 0]"
MB_COMBO_LALALAND_PP,0,2,"['CSTE_0043_MB_Lalaland_Brown', 'CSTE_0050_MB_PinkPanther_Brown']","[0, 0]"
MB_COMBO_LALALAND_THEBEATLES,0,2,"['CSTE_0043_MB_Lalaland_Brown', 'CSTE_0022_MB_Beatles_Brown']","[0, 0]"
MB_COMBO_LALALAND_URMYSUNSHINE,0,2,"['CSTE_0043_MB_Lalaland_Brown', 'CSTE_0060_MB_YouAreMySunshine_Brown']","[0, 0]"
MB_COMBO_HBDBLACK_LETITGO,0,2,"['CSTE_0015_MB_HBD_Black', 'CSTE_0047_MB_LetItGo_Brown']","[0, 0]"
MB_COMBO_TWINKLE_HBDPPINK,0,2,"['CSTE_0048_MB_LittleStar_Brown', 'CSTE_0016_MB_HBD_Pink']","[0, 2]"
MB_COMBO_TWINKLE_PINKPANTHER,0,2,"['CSTE_0048_MB_LittleStar_Brown', 'CSTE_0050_MB_PinkPanther_Brown']","[0, 0]"
MB_COMBO_BB_StarWarsBlue,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0056_MB_Starwar_Blue']","[0, 0]"
MB_COMBO_BB_StarWarsBrown,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0055_MB_Starwar_Brown']","[0, 0]"
MB_COMBO_HBDBROWN_STARWAERBLACK,0,2,"['CSTE_0014_MB_HBD_Brown', 'CSTE_0054_MB_Starwar_Black']","[386, 0]"
FUSKED-COMBO-REVERSIBLEOCTOPUSTOYS-6,0,2,"['CSTE_0115_ST_Rev_Oct_BlueOrange', 'CSTE_0115_ST_Rev_Oct_BlueOrange']","[0, 0]"
FUSKED-COMBO-REVERSIBLE OCTOPUS-14,0,2,"['CSTE_0122_ST_Rev_Oct_RedYellow', 'CSTE_0120_ST_Rev_Oct_PurpleGreen']","[0, 0]"
17*17_PillowCover_Combo,0,1,['CSTE_0237_HD_PillowCover_Brown'],[0]
Brush_makeup_Blue,0,1,['CSTE_O0102_OT_ToothBrushKit'],[0]
"Rudrav_RJ & Tata Plush Pillow, Animal Stuffed Toys Throw Pillow",0,2,"['CSTE_0002_ST_Bts_Pillow_Tata', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0]"
"FUSKED Chimmy & Cooky Plush Pillow, Animal Stuffed Toy",0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0]"
"Rudrav_Chimmy & Cooky Plush Pillow, Animal Stuffed Toys",0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0]"
"FUSKED Cooky & Tata Plush Pillow, Animal Stuffed Toys Throw",0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
Harrypotter_wands_musicbox,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
wands_harryPotter_musicbox,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
hermoine_wand_musicbox,42,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0020_MB_HP_Black']","[42, 84]"
wands_hermoine_musicbox,42,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0020_MB_HP_Black']","[42, 84]"
Dumbledore_wand_musicbox,2,2,"['CSTE_0292_OT_Dumbledore_wand', 'CSTE_0020_MB_HP_Black']","[2, 84]"
wands_Dumbledore_Musicbox,2,2,"['CSTE_0292_OT_Dumbledore_wand', 'CSTE_0020_MB_HP_Black']","[2, 84]"
LordVoldmort_wand_musicbox,49,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0020_MB_HP_Black']","[49, 84]"
voldmort_wand_musicbox,49,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0020_MB_HP_Black']","[49, 84]"
new_harrypotter_wand_musicbox,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
wand_new_harrypotter_musicbox,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
harrypotter_sunglass_wand,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0319_SG_HarryPotter_Round']","[0, 0]"
Wands_HarryPotter_Sunglass,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0319_SG_HarryPotter_Round']","[0, 0]"
hermoine_sunglass_wand,0,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0319_SG_HarryPotter_Round']","[42, 0]"
Wands_hermoine_sunglass,0,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0319_SG_HarryPotter_Round']","[42, 0]"
Dumbledore_sunglass_wand,0,2,"['CSTE_0292_OT_Dumbledore_wand', 'CSTE_0319_SG_HarryPotter_Round']","[2, 0]"
Wands_Dumbledore_Sunglasas,0,2,"['CSTE_0292_OT_Dumbledore_wand', 'CSTE_0319_SG_HarryPotter_Round']","[2, 0]"
Wands_Lord Voldmort_Sunglasas,0,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0319_SG_HarryPotter_Round']","[49, 0]"
Voldmort_sunglass_wand,0,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0319_SG_HarryPotter_Round']","[49, 0]"
Snape_Sunglass_wand,0,2,"['CSTE_0295_OT_Snape_wand', 'CSTE_0319_SG_HarryPotter_Round']","[59, 0]"
Wands_Snape_Sunglass,0,2,"['CSTE_0295_OT_Snape_wand', 'CSTE_0319_SG_HarryPotter_Round']","[59, 0]"
"RUDRAV_RJ, Shooky, Van & Tata Plush Pillow, Animal Stuffed Toys",0,4,"['CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0006_ST_Bts_Pillow_Van', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0, 0, 0]"
CSTE_0407_OT_HP_Scarf_SG,0,2,"['CSTE_0407_OT_HP_Scarf_SG', 'CSTE_0407_OT_HP_Scarf_SG']","[0, 0]"
CSTE_Combo_Melody_Kuromi,36,2,"['CSTE_0483_ST_Animal_Kitty_MyMelody_Pink', 'CSTE_0482_ST_Animal_Kitty_Kuromi_Black']","[68, 36]"
HOC_A9_MB_MH,4,1,['CSTE_0200_MB_MHLasaCasaDePapel_Brown'],[4]
HOC_Bella_Ciao_MH_Black,0,1,['CSTE_0207_MB_BellaCiao_Black'],[0]
HOC_birthdaytunered01,0,1,['CSTE_0013_MB_HBD_Red'],[0]
HOC_Brown-La-Vie-Rose-Brown,0,1,['CSTE_0045_MB_LavienRose_Brown'],[0]
HOC_Caribbean-Pirates,0,1,['CSTE_0053_MB_PiratesofCarribean_Brown'],[0]
HOC_CSTE_0073_MB_ILoveToTheMoon_Black,0,1,['CSTE_0073_MB_ILoveToTheMoon_Black'],[0]
HOC_FK- MUSIC BOX -HAPPY BIRTHDAY FOR SPECIAL ONES- PINK,2,1,['CSTE_0016_MB_HBD_Pink'],[2]
HOC_Four-Head-Brown-Beatles,0,1,['CSTE_0022_MB_Beatles_Brown'],[0]
HOC_Happy_birthday_white,0,1,['CSTE_0036_MB_HBD_White'],[0]
HOC_hbd_black_mb,0,1,['CSTE_0015_MB_HBD_Black'],[0]
HOC_MB_Queen_Black,0,1,['CSTE_0088_MB_Queen_Black'],[0]
HOC_MH A14 Brown MB,4,1,['CSTE_0200_MB_MHLasaCasaDePapel_Brown'],[4]
HOC_MH_A5_BLACK MB,0,1,['CSTE_0207_MB_BellaCiao_Black'],[0]
HOC_MH_Mask_Brown,1,1,['CSTE_0195_MB_MHA13_Brown'],[1]
HOC_MHAll_Black_MB,0,1,['CSTE_0197_MB_MHAll_Black'],[0]
HOC_moneyhiestA15,17,1,['CSTE_0204_MB_MHA12_Brown'],[17]
HOC_MusicBox_Queen,0,1,['CSTE_0082_MB_Queen_Brown'],[0]
HOC_Pirate_DavyJones_mb,6,1,['CSTE_0260_MB_Pirate_DavyJones'],[6]
HOC_Pirates of The Caribbean_BLACK,22,1,['CSTE_0052_MB_PiratesofCarribean_Black'],[22]
HOC_Simpsons_Music_Box_Brown,14,1,['CSTE_0083_MB_Simpsons_Brown'],[14]
HOC_TO MY WIFE WITH PHOTO_BROWN,0,1,['CSTE_0058_MB_ToMyWife_BrownWithPhoto'],[0]
HOC_Tree_MB_MerryChristmas,0,1,['CSTE_0348_MB_MerryChristmas_TreeRed'],[0]
HOC_YOU ARE MY SUNSHINE_BLACK,0,1,['CSTE_0059_MB_YouAreMySunshine_Black'],[0]
15694321,0,1,['CSTE_O0431_OT_Soft_Keychain_Shooky'],[0]
23654985,0,2,"['CSTE_O0436_OT_Dinasour_Soft_toy', 'CSTE_O0047_OT_DinasourPencilSet']","[0, 0]"
Owl_Keyholder_Purple,0,1,['CSTE_O0401_OT_KeyHolder_WinkCat_Purple'],[0]
Lilo_Stitch_Breathing_Stitch,88,2,"['CSTE_0460_ST_Animal_Stitch_Lina_Bear', 'CSTE_0488_ST_Animal_Breathing_Stitch_Blue']","[88, 137]"
Maru_Bear_Love_a_Lot_Bear,39,2,"['CSTE_0458_ST_Animal_Love_Lot_Bear', 'CSTE_0456_ST_Animal_Maru_Bear']","[39, 56]"
Battlegame,0,1,['CSTE_0378_OT_BattleGame_Toy'],[0]
